_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,1,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,21-01-2021 09:30,3
2,2,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,21-01-2021 10:30,2.5
3,3,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,21-01-2021 11:30,2.5
4,4,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-02-2021 20:30,0.5
5,5,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-02-2021 21:30,0.5
6,6,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,25-02-2021 22:30,0.5
7,7,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,28-02-2021 07:30,0.5
8,8,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,04-03-2021 10:30,0.5
9,9,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,12-03-2021 23:30,0.5
10,10,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,13-03-2021 20:30,0.5
11,11,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,14-03-2021 05:30,0.5
12,12,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,14-03-2021 12:30,0.5
13,13,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,16-03-2021 06:30,0.5
14,14,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,17-03-2021 16:30,0.5
15,15,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,18-03-2021 21:30,0.5
16,16,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,22-03-2021 07:30,0.5
17,17,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,29-03-2021 17:00,0.5
18,18,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,29-03-2021 22:30,0.5
19,19,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 00:00,0.5
20,20,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 01:00,0.5
21,21,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 05:30,0.5
22,22,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 06:00,0.5
23,23,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 06:30,0.5
24,24,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 09:30,0.5
25,25,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,30-03-2021 11:30,0.5
26,26,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,31-03-2021 12:30,0.5
27,27,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,01-04-2021 08:30,0.5
28,28,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,01-04-2021 22:30,1
29,29,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,01-04-2021 23:30,1.5
